category,category_url,subcats,files
SVG Flags,https://commons.wikimedia.org/wiki/Category:SVG_flags,46,165
SVG drapeaux:Text embedded,https://commons.wikimedia.org/wiki/Category:SVG_drapeaux:Text_embedded,0,414
SVG drapeaux:Text embedded,https://commons.wikimedia.org/w/index.php?title=Category:SVG_drapeaux:Text_embedded&filefrom=24e+r%C3%A9giment+d%27infanterie+de+ligne+-+drapeau.svg#mw-category-media,0,414
SVG drapeaux:Text embedded,https://commons.wikimedia.org/w/index.php?title=Category:SVG_drapeaux:Text_embedded&filefrom=24e+r%C3%A9giment+d%27infanterie+de+ligne+-+drapeau.svg#mw-category-media,0,414
SVG flags by aspect ratio,https://commons.wikimedia.org/wiki/Category:SVG_flags_by_aspect_ratio,3,0
SVG flags by color,https://commons.wikimedia.org/wiki/Category:SVG_flags_by_color,12,0
SVG flags by country,https://commons.wikimedia.org/wiki/Category:SVG_flags_by_country,210,0
SVG flags by shape,https://commons.wikimedia.org/wiki/Category:SVG_flags_by_shape,3,0
Invalid SVG created with ...:Flags,https://commons.wikimedia.org/wiki/Category:Invalid_SVG_created_with_...:Flags,4,0
Valid SVG created with ...:Flags,https://commons.wikimedia.org/wiki/Category:Valid_SVG_created_with_...:Flags,6,0
Valid SVG created with Inkscape-hand:Flags,https://commons.wikimedia.org/wiki/Category:Valid_SVG_created_with_Inkscape-hand:Flags,4,194
Valid SVG created with Sodipodi:Flags,https://commons.wikimedia.org/wiki/Category:Valid_SVG_created_with_Sodipodi:Flags,0,7
SVG unidentified flags,https://commons.wikimedia.org/wiki/Category:SVG_unidentified_flags,0,14
SVG flags with border,https://commons.wikimedia.org/wiki/Category:SVG_flags_with_border,0,236
SVG flags with border,https://commons.wikimedia.org/w/index.php?title=Category:SVG_flags_with_border&filefrom=Santibanzez+Penza%0ABandera+de+Santib%C3%A1%C3%B1ez+de+la+Pe%C3%B1a+%28Palencia%29.svg#mw-category-media,0,236
SVG flags from the CIA World Factbook,https://commons.wikimedia.org/wiki/Category:SVG_flags_from_the_CIA_World_Factbook,1,63
SVG clapperboard flag icons,https://commons.wikimedia.org/wiki/Category:SVG_clapperboard_flag_icons,0,114
SVG flag construction sheets,https://commons.wikimedia.org/wiki/Category:SVG_flag_construction_sheets,0,162
SVG flags of dependent territories,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_dependent_territories,6,0
SVG flags of ethnic groups,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_ethnic_groups,17,197
SVG flag maps,https://commons.wikimedia.org/wiki/Category:SVG_flag_maps,7,223
SVG flag maps,https://commons.wikimedia.org/w/index.php?title=Category:SVG_flag_maps&filefrom=Syria%0AFlag-map+of+Syria+%28Irredentist%29.svg#mw-category-media,7,223
SVG government flags,https://commons.wikimedia.org/wiki/Category:SVG_government_flags,1,0
SVG historical flags,https://commons.wikimedia.org/wiki/Category:SVG_historical_flags,3,99
SVG house flags,https://commons.wikimedia.org/wiki/Category:SVG_house_flags,0,51
SVG hybrid flags,https://commons.wikimedia.org/wiki/Category:SVG_hybrid_flags,3,82
SVG international flags,https://commons.wikimedia.org/wiki/Category:SVG_international_flags,3,111
SVG flags of languages,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_languages,1,133
SVG flags of LGBT,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_LGBT,3,69
SVG micronational flags,https://commons.wikimedia.org/wiki/Category:SVG_micronational_flags,0,65
SVG military flags,https://commons.wikimedia.org/wiki/Category:SVG_military_flags,4,5
SVG flags of missing,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_missing,0,29
SVG flags of municipalities,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_municipalities,1,0
SVG pennants,https://commons.wikimedia.org/wiki/Category:SVG_pennants,1,48
SVG pirate flags,https://commons.wikimedia.org/wiki/Category:SVG_pirate_flags,0,122
SVG political flags,https://commons.wikimedia.org/wiki/Category:SVG_political_flags,5,375
SVG political flags,https://commons.wikimedia.org/w/index.php?title=Category:SVG_political_flags&filefrom=Flag+of+the+Caucasian+Emirate.svg#mw-category-media,5,375
SVG religious flags,https://commons.wikimedia.org/wiki/Category:SVG_religious_flags,4,403
SVG religious flags,https://commons.wikimedia.org/w/index.php?title=Category:SVG_religious_flags&filefrom=Flag+of+the+Papal+States+%281825-1870%29.svg#mw-category-media,4,403
SVG religious flags,https://commons.wikimedia.org/w/index.php?title=Category:SVG_religious_flags&filefrom=Flag+of+the+Papal+States+%281825-1870%29.svg#mw-category-media,4,403
SVG signal flags,https://commons.wikimedia.org/wiki/Category:SVG_signal_flags,3,4
SVG simplified flags,https://commons.wikimedia.org/wiki/Category:SVG_simplified_flags,5,250
SVG simplified flags,https://commons.wikimedia.org/w/index.php?title=Category:SVG_simplified_flags&filefrom=+1255%0ABandera+Maruri.svg#mw-category-media,5,250
SVG flags of social organizations,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_social_organizations,0,2
SVG sovereign state flags,https://commons.wikimedia.org/wiki/Category:SVG_sovereign_state_flags,2,195
SVG special or fictional flags,https://commons.wikimedia.org/wiki/Category:SVG_special_or_fictional_flags,4,726
SVG special or fictional flags,https://commons.wikimedia.org/w/index.php?title=Category:SVG_special_or_fictional_flags&filefrom=Fictitious+Hussite+banner.svg%0AFictitious+Hussite+banner.svg#mw-category-media,4,726
SVG special or fictional flags,https://commons.wikimedia.org/w/index.php?title=Category:SVG_special_or_fictional_flags&filefrom=Fictitious+Hussite+banner.svg%0AFictitious+Hussite+banner.svg#mw-category-media,4,726
SVG special or fictional flags,https://commons.wikimedia.org/w/index.php?title=Category:SVG_special_or_fictional_flags&filefrom=Fictitious+Hussite+banner.svg%0AFictitious+Hussite+banner.svg#mw-category-media,4,726
SVG sports flags,https://commons.wikimedia.org/wiki/Category:SVG_sports_flags,2,18
SVG flag symbols,https://commons.wikimedia.org/wiki/Category:SVG_flag_symbols,0,2
SVG flags of the nations at the Olympics by NOC recognition,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_the_nations_at_the_Olympics_by_NOC_recognition,75,0
SVG flags of the United Nations member states by year of membership,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_the_United_Nations_member_states_by_year_of_membership,42,0
SVG royal standards,https://commons.wikimedia.org/wiki/Category:SVG_royal_standards,1,3
SVG Wikimedia Foundation flags,https://commons.wikimedia.org/wiki/Category:SVG_Wikimedia_Foundation_flags,0,7
SVG flags of vexillology,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_vexillology,0,52
Wiki-movements flags,https://commons.wikimedia.org/wiki/Category:Wiki-movements_flags,0,8
SVG supersed flags,https://commons.wikimedia.org/wiki/Category:SVG_supersed_flags,1,0
SVG flags by aspect ratio by country,https://commons.wikimedia.org/wiki/Category:SVG_flags_by_aspect_ratio_by_country,6,0
SVG rectangular flags (horizontal) by aspect ratio,https://commons.wikimedia.org/wiki/Category:SVG_rectangular_flags_(horizontal)_by_aspect_ratio,28,0
SVG rectangular flags (vertical) by aspect ratio,https://commons.wikimedia.org/wiki/Category:SVG_rectangular_flags_(vertical)_by_aspect_ratio,9,0
SVG black flags,https://commons.wikimedia.org/wiki/Category:SVG_black_flags,0,24
SVG blue flags,https://commons.wikimedia.org/wiki/Category:SVG_blue_flags,0,130
SVG cyan flags,https://commons.wikimedia.org/wiki/Category:SVG_cyan_flags,0,30
SVG gray flags,https://commons.wikimedia.org/wiki/Category:SVG_gray_flags,0,17
SVG green flags,https://commons.wikimedia.org/wiki/Category:SVG_green_flags,0,89
